,distance,coauthorship,title1,department1,duration1,title2,department2,duration2,is_same_title,is_same_department,duration_difference,Chair1,Fellow1,Head1,Lecturer1,Professional1,Professor1,Aerospace  Mechanical & Mechatronic Engineering1,Australian Centre for Field Robotics1,Chemical & Biomolecular Engineering1,Civil Engineering1,Electrical & Information Engineering1,Information Technologies1,Chair2,Fellow2,Head2,Lecturer2,Professional2,Professor2,Aerospace  Mechanical & Mechatronic Engineering2,Australian Centre for Field Robotics2,Chemical & Biomolecular Engineering2,Civil Engineering2,Electrical & Information Engineering2,Information Technologies2
725,1.116522637,0,Professor,Civil Engineering,1175,Professor,Civil Engineering,1581,1,1,406,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
726,1.11653402,0,Professor,Civil Engineering,1175,Professor,Civil Engineering,3457,1,1,2282,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
727,1.116607487,0,Professor,Electrical & Information Engineering,6687,Lecturer,Electrical & Information Engineering,3100,0,1,3587,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
728,1.116616193,0,Fellow,Civil Engineering,6687,Professor,Civil Engineering,5403,0,1,1284,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
729,1.116664999,0,Professor,Civil Engineering,213,Lecturer,Civil Engineering,870,0,1,657,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
730,1.116694658,1,Professor,Civil Engineering,213,Professor,Information Technologies,5781,1,0,5568,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1
731,1.116878708,0,Professor,Australian Centre for Field Robotics,6687,Lecturer,Civil Engineering,3105,0,0,3582,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
732,1.117026115,0,Professor,Aerospace  Mechanical & Mechatronic Engineering,6558,Lecturer,Civil Engineering,2988,0,0,3570,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
733,1.117102855,0,Professor,Chemical & Biomolecular Engineering,6687,Lecturer,Australian Centre for Field Robotics,6610,0,0,77,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
734,1.117175872,0,Professor,Information Technologies,6243,Professor,Information Technologies,5781,1,1,462,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
